stage_id,stage,code_location,input,operation,output,why,historical_path_use,current_formal_use,targeted_path_use,direct_effect_evidence,canonical_reference,decision
S01,8-channel complex range-domain input,scripts/process_vital_signs_v3_1_1.py:1099-1112; scripts/maintenance/run_mmwave_targeted_validation_20260830.py:227-280,"NPZ tx arrays; [frame, range-bin, channel]","sort tx keys, stack channels, cast complex64; no second range FFT",complex range-domain cube,preserve channelized range samples and avoid double-transform,YES,YES,YES,Output shape/packing audit; NONE for isolated MAE effect,Project audit/U1-U4; L1-L3,KEEP
S02,range profile and target candidate generation,"scripts/process_vital_signs_v3_1_1.py:1146-1172,1194-1233",complex cube,"mean abs(z)^2 profile; per-channel >1% max candidates; phase variance, detrended FFT, SNR and stability scores",candidate bins/channels and scores,rank signal-like range/channel candidates,YES,YES,YES,ARM0/ARM1/ARM2 and same-window replay; target is material but not isolated from all downstream stages,L3 target-range selection; project audit,RESTORE_EXISTING
S03,gross range ROI/gate,"scripts/process_vital_signs_v3_1_1.py:2500-2517,2803-2900; historical run lineage",bin candidates and bin spacing,historical 0.30-1.50 m = bins 9-40; current independent selector has no physical gate,gated candidate set or unrestricted set,constrain implausible target range,YES,YES,NO in independent selection,Existing ablation: ARM1 MAE < ARM0 on prior 335-row output; not ECG-tuned and not physical-truth proof,L3 plus protocol prior; exact placement receipt absent,RESTORE_EXISTING
S04,DC/static/clutter handling before selection,"scripts/process_vital_signs_v3_1_1.py:1146-1172,1502-1557,1597-1636; audit fields/matrix",complex cube/profile,no downstream DC/IQ/MTI/background subtraction before target selection; plot subtraction is display-only,raw profile remains selector input,must distinguish actual target processing from diagnostic visualization,NO,NO,NO,NONE; no project A/B isolates suppression,"L1, L4-L6 support the need/risk, not this implementation",UNPROVEN
S05,phase extraction and displacement,"scripts/process_vital_signs_v3_1_1.py:268-270,1415-1439",selected complex bin/channel,unwrap(angle(iq)); wavelength_mm * phase/(4*pi),unwrapped displacement time series,recover chest micro-motion phase,YES,YES,YES,Shared across historical/current replay; NONE for isolated stage effect,"L1-L2, L4-L5; project-parameter variant",KEEP
S06,BR/HR bandpass,"scripts/process_vital_signs_v3_1_1.py:273-275,305-394,642-679",displacement,4th-order SOS; BR 0.1-0.5 Hz branch; HR bp_heart 0.8-2.0 Hz; optional VMD K=3,filtered BR/HR signals,isolate physiological bands,YES bp_heart,YES,YES bandpass; NO VMD/full branch,Historical full-chain 20s adaptation outperforms current block-local on same 323 control rows; VMD has no safe current-20s A/B seam. REUSE_REJECTION_REASON: persisted replay has no VMD branch output and current targeted path does not invoke it,"L1-L2, L4-L6; parameters are project-specific",KEEP bandpass / UNPROVEN VMD
S07,window and segment construction,"scripts/process_vital_signs_v3_1_1.py:857-1072,1947-2239; targeted wrapper:369-381",filtered displacement,historical internal 25s/5s course and segment correction/consensus; targeted fixed windows 20s,segment/course estimates,stabilize short-window spectral estimates,YES,YES,PARTIAL,Historical 20s adaptation vs current paths; #25 20s/60s remains confounded,L2; project validation only for exact parameters,RESTORE_EXISTING
S08,periodogram/FFT and candidate generation,"scripts/process_vital_signs_v3_1_1.py:727-775,1236-1241; targeted wrapper:309-335",filtered HR signal,"Hann periodogram, nfft padding, peak candidates, prominence/IBI candidates",frequency/time candidates,produce HR hypotheses,YES,YES,YES,"Fixed-path vs sequential selector replay; selector exact recovery is supporting path evidence, not HR validity",L1-L2; project heuristic,KEEP
S09,harmonic half/double folding,"scripts/process_vital_signs_v3_1_1.py:713-724,1800-1944",time/frequency candidates and optional anchor,existing half/double/triple heuristic; external RSP guard only when acq_path is supplied,folded candidates,reduce respiration harmonic/HR octave ambiguity,YES internal; external RSP inactive,YES internal; external inactive in formal runner,PARTIAL internal selector replay; NO external RSP,No isolated effect. REUSE_REJECTION_REASON: persisted 335-row replay stores folded selector outputs but not pre-fold candidate lists; old targeted path did not call the internal guard and formal runner lacks external RSP input,L6 supports harmonic risk; exact folding is project heuristic,UNPROVEN
S10,previous/reference BPM continuity,"scripts/process_vital_signs_v3_1_1.py:727-775,857-1072; selector replay script",candidate list plus previous BPM,"score penalty/anchor, reset per complete block; reference BPM=None in replay",anchored spectral BPM and next previous value,avoid implausible frame-to-frame jumps,YES course continuity,YES,RESTORED in selector replay; absent from old targeted estimator,No-anchor descriptive comparison; 37/102 wrong and 17/182 nearby exact recovery,L2; project selector contract,RESTORE_EXISTING
