analysis_id,verdict,report_role,scientific_rationale,required_action_before_final
P0_PROTOCOL,KEEP_MAIN,methods,"协议版本、site、B1/B2 shared-primary 与 B3 extension 是所有后续统计的前提。","保留；补精确 producer/provenance，不在 AMD 侧重新做推断。"
P1_IDENTITY,REVISE_METHOD,methods,"身份链是 participant-disjoint 与跨硬盘合并的关键，但 final repeat_participant_id 不能由两台机器各自冻结。","改成 local linkage evidence -> central deterministic reconciliation -> global repeat_participant_id；folds 只能全局冻结。"
C2A_LABEL,KEEP_MAIN,methods+validity,"1 vs 2/3/4 主终点合理，四分类层必须保留；当前类别分布与防泄漏规则合理。","保留 label mapping；全仓固定 3=任务无关思维、4=思维空白。"
BEIJING_BEHAVIOR,KEEP_MAIN,results_validity,"时间推进、错误和完全任务聚焦下降构成标签行为效度链的一部分；participant-clustered GEE 合理。","恢复/参数化真实 producer；最终正文使用已校正/统一口径结果，避免与后续 validity module 重复计数。"
PREPROBE_BEHAVIOR,RERUN_CANONICAL,results_validity,"Probe 前行为是最直接的行为效标，但当前 canonical branch 未提供可审查的最终 state-contrast aggregate result/runner；仅有描述性轨迹不足。","冻结 30 s 主窗口、10/20 s 或已预定义窗口敏感性；上传脱敏聚合结果、真实 runner、FDR family 和模型公式。"
RECOVERY_B1B2,KEEP_SUPPORTING,supplement,"B1 late->B2 early 未见明确恢复效应；问题合理但不是主报告核心。","保留补充材料，不把 null 结果解释为休息无效。"
REPORT_COHORT,REVISE_METHOD,methods,"北京 70 sessions/46 participants/1400 probes 是当前本地报告 cohort，但不是未来 Beijing+Zhuhai global final cohort。","重命名/拆分 BEIJING_REPORT_COHORT 与 GLOBAL_SHARED_PRIMARY_COHORT；修正 creator/executable 指向真实 runner。"
FOUR_CLASS_PROBE,REVISE_METHOD,results_validity,"四类状态轨迹有价值，但与 VIGILANCE/PROBE_VIGILANCE 实际由同一 report runner 产生，registry 目前重复登记且 producer 映射不准。","合并为一个 REPORT_LABEL_VIGILANCE_VALIDITY 模块，四类 one-vs-rest GEE 作为子分析并明确不是单一 multinomial model。"
VIGILANCE,REVISE_METHOD,results_validity,"vigilance 随 progress 下降是重要心理效度证据；ordinal GEE 合理但需要比例优势假设诊断或敏感性。","与四分类/Probe-vigilance 合并；补 proportional-odds 诊断或阈值敏感性，固定量表方向。"
PROBE_VIGILANCE,REVISE_METHOD,results_validity,"Probe 状态与 vigilance 的一致方向强化构念效度，但应作为同一 validity family，而非独立重复主分析。","并入统一 validity module；保留 BH-FDR family 与 block/progress adjustment。"
REPEAT_EFFECTS,KEEP_SUPPORTING,supplement_control,"重复 session 是必要控制；当前 mixed models 与前三场敏感性说明部分 session-order 主效应不稳健。","保留为稳健性/控制，不作为主要预测特征或因果练习效应；registry 改指 run_report_repeat_session_effects_v1.py。"
Q1_QUESTIONNAIRE,REVISE_METHOD,results_validity,"实验后总体走神自评与 Probe 比例/错误关系提供 convergent/criterion-supportive evidence，但不是逐窗口 ground truth。","修正 label 3/4 文字反转；registry 改指 run_q1_questionnaire_criterion_validity.py；补 ordinal proportional-odds 假设说明。"
BEHAVIOR_BASELINE,RERUN_CANONICAL,model_baseline,"C+B 是所有传感器增量的锚点；V1 1440/72 fallback 与当前 1400/70 report cohort 不一致。","若本地 final_report_cohort_baseline_v2 已完成，上传脱敏 aggregate report/metrics/manifest 并核验 70/1400；否则按同方法重跑。全局 merge 后再冻结 GLOBAL folds。"
EARLY_INCREMENT,SUPERSEDED,history,"早期 matched-subset mmWave/NIR baseline 方法公平，但已被 C2B/C2C 和即将进行的 final NIR/RGB 所取代。","保留历史 provenance；最终报告不得作为当前传感器结论。"
C1_ALIGNMENT,KEEP_SUPPORTING,validation_boundary,"独立 marker 同步、held-out lag 与 IBI audit 足以支持当前周期停止 HRV 验证，不支持硬件失败结论。","状态改为 VALIDATION_STOPPED/VALID_SUPPORTING，而不是单纯 BLOCKED_EXTERNAL_STORAGE；不要求 AMD 同事重复。"
C2B_V2,KEEP_SUPPORTING,mmwave_ablation,"当前低复杂度 absolute mmWave 特征无行为/context 增量，是有效消融/边界证据。","保留补充/限制；若不计划跨站点 mmWave 复现，不必为 AMD 阻塞性交付缺失 producer。"
C2C,KEEP_SUPPORTING,mmwave_ablation,"个体静息 robust-z 未产生正增量，合理支持停止继续 normalization 搜索。","保留补充/停止规则；缺失 producer 仅在确需外盘复现时恢复。"
M1,KEEP_SUPPORTING,diagnostic,"有限 participant ICC 说明简单个体偏移不是主要瓶颈，属于诊断而非主心理结果。","放补充/方法诊断；默认不要求 AMD 复现。"
