stage,actual_implementation,code_evidence,source_or_commit,evidence_strength,risk_or_limit
SDK payload acquisition,"RS6240 callback receives dataType=3 (0xC2 ReportDataCube1D); raw payload bytes are also written to PSIC .datacube.bin.","D:/Project/厚粲杯/05_实验/FocusWave/01-MainProgram/core/mmwave_capture.py:378-411; 482-484; 531-537","producer source; PSIC header labels DataType=FFT / FrameType=1DFFT at lines 128-150",HIGH,"No code here exposes raw ADC/IF samples or an analysis-side Range FFT. The firmware/SDK transform remains an external black box."
NPZ producer transform,"The producer calls HifMsgDataCollectionApi.DatacubeConversion(payload,...), then stores antenna real + j*imag arrays by tx{n}_rx{n}; no DC/IQ/clutter operation is written in Python before NPZ persistence.","mmwave_capture.py:408-423; 448-459","SDK call plus producer source",HIGH,"Stored NPZ is SDK-derived complex range-domain data, not demonstrated raw ADC or unprocessed IQ. SDK internal corrections are UNVERIFIED."
Stored layout,"Each NPZ key is one Tx/Rx channel and arrays are stacked as frames x range bins x 8 channels in the central analysis.","mmwave_capture.py:417-423; 449-451; scripts/process_vital_signs_v3_1_1.py:1099-1112","producer and central analysis source; CAL part001 observed keys/shape",HIGH,"Channel index preserves lexical tx/rx order, but physical array geometry/calibration/angle convention were not found."
Range FFT location,"Central analysis _as_range_cube is identity conversion; no np.fft range FFT exists on the producer-to-selection route.","process_vital_signs_v3_1_1.py:1111-1112; 1146-1172","central source",HIGH,"Range FFT appears upstream in firmware/SDK ReportDataCube1D, not reproducibly audited from raw ADC."
DC IQ offset correction,"No DC-offset, IQ-imbalance or complex-baseline correction is called before profile and target selection.","process_vital_signs_v3_1_1.py:1103-1172; producer mmwave_capture.py:408-459","negative code audit of active route",MEDIUM,"Cannot exclude undocumented firmware/SDK correction. Central code passes stored complex cube unchanged."
Static clutter MTI background,"No temporal mean subtraction, MTI, background model or clutter filter is applied before power profile / channel / bin selection. A separate plotting diagnostic subtracts temporal mean only for display.","process_vital_signs_v3_1_1.py:1146-1172; 1483-1561","central source",HIGH,"Strong stationary reflectors remain eligible in selection; display-only subtraction must not be misreported as preprocessing."
Profile channel power,"Ungated auto channel is argmax of mean |IQ|^2 over all frames and all bins.","process_vital_signs_v3_1_1.py:1155-1172; 2828-2829","central source",HIGH,"This is not beamforming and can be dominated by any-range reflectors. It is recorded as auto_best_channel, not the final separate channel choice."
Distance coordinate,"Current analysis defines distance coordinate as bin * bin_spacing - bias, default 0.08 m and 0 m bias; default gate is 0.30–1.50 m.","process_vital_signs_v3_1_1.py:17-18; 2500-2517; 2803-2840","central source",HIGH,"Producer PSIC metadata declares 37 mm range resolution (mmwave_capture.py:92-124), so the 0.08 m analysis coordinate is a material unresolved mapping discrepancy, not a verified physical distance."
Bin selection,"Within each channel, bins above 1% of its maximum power are scored from unwrapped phase: BR=SNR*stability; HR=log1p(HR SNR)*stability^2. Current primary route zeros out-of-gate bin power before candidate selection.","process_vital_signs_v3_1_1.py:1194-1233; 2835-2845","central source",HIGH,"Gate suppresses bins outside coordinate 0.30–1.50 m, but no human/chest localization or spatial validation is performed."
Separate channels,"The best BR score may select one channel/bin and the HR score another; all eight stored channels are independently considered absent override.","process_vital_signs_v3_1_1.py:1374-1412; 2841-2861","central source",HIGH,"No channel averaging, coherent combination, AoA, beamforming, or 2T4R calibration is used."
Known selection failure and repair,"Git blame/comment documents earlier heart selection at bins 252/247 as implausible far-range clutter; current heart candidate call receives gated profile.","process_vital_signs_v3_1_1.py:2847-2852; git blame commit 7a482f01 (2026-08-16)","code comment plus git blame",HIGH,"Evidence of a prior far-range failure; it does not validate near-range target identity or resolve coordinate calibration."
Real-session audit,"CAL sub-2 part001 has 1,000 frames x 256 bins x 8 complex channels. Under the current documented 0.08 m coordinate/gate, audit recomputation selected BR ch3/bin13 (1.04 coordinate m) and HR ch1/bin9 (0.72 coordinate m); ungated max-power channel was ch2.","frontend_diagnostic_figures/cal_sub2_part001_frontend_audit.json; source D:/acq_mmwave_data/sub-2_/mmwave/sub-2_mmwave_datacube_part001.npz","direct readonly data inspection; diagnostic reproduces selection logic for this one chunk",HIGH,"This is a 10-s CAL chunk, not a performance or physiological-validity result; it shows selection behavior only."


