feature_name,modality,source_column,definition,unit,aggregation_rule,window,qc_requirement,missing_semantics,allowed_as_predictor,reason,provenance
nir_pupil_equiv_diameter_median,NIR,nir_pupil_equiv_diameter_median,equivalent pupil diameter from fullclass pupil geometry,pixel,pool left/right eye rows within window; median over valid rows; no eye weighting,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,True,current fullclass pupil geometry primary feature; no PIR,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_pupil_geom_mean_diameter_median,NIR,nir_pupil_geom_mean_diameter_median,geometric-mean pupil diameter from fullclass pupil geometry,pixel,pool left/right eye rows within window; median over valid rows; no eye weighting,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,True,current fullclass pupil geometry primary feature; no PIR,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_pupil_contour_area_median,NIR,nir_pupil_contour_area_median,pupil contour area from fullclass segmentation,pixel^2,pool left/right eye rows within window; median over valid rows; no eye weighting,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,True,current fullclass pupil geometry primary feature; no PIR,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_pupil_ellipse_area_median,NIR,nir_pupil_ellipse_area_median,fitted pupil ellipse area from fullclass geometry,pixel^2,pool left/right eye rows within window; median over valid rows; no eye weighting,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,True,current fullclass pupil geometry primary feature; no PIR,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_observed_eye_fraction,NIR,nir_observed_eye_fraction,fraction of eye observations available in window,proportion,as emitted by current merge-ready table,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,False,coverage/QC only,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_pupil_fit_valid_fraction,NIR,nir_pupil_fit_valid_fraction,fraction of eye rows with valid pupil fit,proportion,as emitted by current merge-ready table,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,False,geometry QC only,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_ritnet_success_fraction,NIR,nir_ritnet_success_fraction,RITnet successful eye-row fraction,proportion,as emitted by current merge-ready table,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,False,source QC only,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_temporal_anomaly_fraction,NIR,nir_temporal_anomaly_fraction,fraction flagged by temporal QC,proportion,as emitted by current merge-ready table,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,False,temporal QC only,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_analysis_valid_pixel_fraction_median,NIR,nir_analysis_valid_pixel_fraction_median,median valid analysis-domain pixel fraction,proportion,as emitted by current merge-ready table,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,False,pixel QC only,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
nir_window_eye_row_count,NIR,nir_window_eye_row_count,eye metric rows in frozen window,count,as emitted by current merge-ready table,"pre_30s effective window; [window_effective_start_unix_ms, probe_onset_unix_ms)",NIR observation present; fullclass geometry QC retained; no PIR primary,NaN for structural/observation missing or QC_FAIL; QC state retained separately,False,coverage metadata only,nir_probe_merge_ready.csv; ritnet-fullclass-final eye_metrics.csv.gz
