figure_id,figure_name,priority,scientific_question,minimum_input_and_eligibility,required_panels_or_encoding,required_axes_units,mandatory_annotations,never_omit,caption_must_state,fail_or_uninterpretable_when,verified_expression_examples_from_figure_atlas
A,range-time_range-chirp_overview,required,Range-energy distribution and possible reflections/motion,Traceable chirp-frame index plus range-FFT output or equivalent,Full-range 2D heatmap plus optional zoom,time_s;distance_m;colorbar amplitude-power unit or dB reference,channel-combination;range-resolution;window;data-layer;invalid-segments,candidate-region and full-distance view;file identity;colorbar,Observed energy locations and temporal changes without calling a peak chest,Distance calibration or timebase unknown or input was irreversibly cropped,Hao A-VMD 2025 Fig3 pp4-5;Hao MRVS 2025 Fig3 pp5-6
B,DC_offset_static_clutter_before_after,conditional_required_if_claimed,What the existing DC-static processing changes and whether dynamic evidence remains,Same input channel-range-window before and after a code-confirmed existing step,Side-by-side or stacked before-after maps using identical coordinates colorbar normalization,time_s;distance_m;colorbar same unit-reference,method;code-function-version;parameters;common colorbar,Before and after data plus identical scale and processing description,Which stable-baseline components changed without equating cleaner appearance with accuracy,No matched before array or code cannot prove the step,Marnach 2026 Fig9 p5;Hao A-VMD 2025 Fig4 p6;Hao MRVS 2025 Fig4 p6
C,target_range_bin_channel_selection,required,Why final range bin and channel were selected and whether near reflections could dominate,Traceable candidate scores-amplitudes and actual rule plus distance gate,Range profile and channel comparison overlaid on range-time map,distance_m;selection-metric unit-definition,all candidates;gate bounds-source;final bin-distance;adjacent candidates;channels;selection stage,Candidate range and distance gate not final bin alone,Actual selection rule and relation to strong near reflections,Selection metric-gate not traceable or near range hidden,Yu 2026 Figs8-11 pp10-11;Marnach 2026 Figs19-20 p8
D,raw_unwrapped_differenced_phase,conditional_required_if_phase_used,How raw phase unwrap and differencing change jumps drift and noise,Same bin-channel-window complex data or recoverable phase and confirmed operations,Three shared-time line panels,time_s;phase_rad;difference rad-per-frame or rad-per-s,bin-distance;channel;formula;unwrap;difference interval;frame handling;filter state,Source relation units and sampling interval,Observed wrapping-drift-noise without calling motion heartbeat,Complex source missing or interval-frame rate unknown,Marnach 2026 Figs8-9 p5;Hao A-VMD 2025 Fig5 p7;Hao MRVS 2025 Fig5 p6
E,respiration_heartbeat_separation,conditional,Whether existing separation retains leakage transients or motion artifacts,Traceable source and actual existing filter-decomposition outputs,Shared-time source respiration-candidate heartbeat-candidate panels,time_s;amplitude unit-or-normalization;bands_Hz,source;sampling rate;method-parameters;edge effects;motion-QC flags,Input plus both outputs and same timebase,Time structure and residuals while retaining candidate wording,Parameters-source unavailable or motion-transients dominate,Yu 2026 Figs2-3 p8;Hao MRVS 2025 Figs7-8 pp8-9
F,PSD_BR_harmonics_HR_candidates,required_when_traceable_spectrum_exists,Whether BR harmonics may be confused with HR candidate,Traceable series and existing PSD with window sampling rate method and resolution,PSD curve optionally source-vs-separated comparison,frequency_Hz;power-density unit2-per-Hz or dB-per-Hz;optional bpm top axis,window;duration;method;resolution;display band;BR;2xBR;3xBR;HR candidate;peak rule,All BR 2xBR 3xBR HR annotations plus band and resolution,Peak positions and harmonic ambiguity without declaring HR,Resolution inadequate BR unknown peaks overlap or motion affects window,Hao MRVS 2025 Figs7-8 pp8-9
G,radar_ECG_RSP_calibration,conditional_required_for_accuracy_claim,Whether radar and reference streams are synchronized and usable for calibration,Traceable timestamps plus documented alignment or trigger mapping,Multi-track shared-time waveforms plus full-record availability strip,time_s;radar proxy unit;ECG unit;RSP unit,zero definition;sampling rates;sync source;offset-drift mapping;usable windows;missing segments,Synchrony availability window and timebase not correlation alone,Comparable periods and strength-limit of sync evidence,No clock mapping reference missing-saturated or nonoverlapping windows,Marnach 2026 Figs11-12 p6;Yu 2026 Figs4-5 pp8-9
H,session_QC_overview,required,Which sessions have evidence adequate for each interpretation layer,Complete existing inventory logs and QC fields,Session-by-QC matrix or grouped timeline with categorical state legend,session identifier;categorical PASS-PARTIAL-FAIL-UNRESOLVED,count denominator;QC definitions;exclusion reason;ECG-RSP availability;downstream status,Denominator missing states and nonpassed sessions,Coverage failure patterns and allowed inference layer,Session identity inconsistent logs disagree or post-hoc rule changes,Ostrysz 2026 Table2 p12;Hao A-VMD 2025 Figs15-16 pp15-17;Hao MRVS 2025 Figs9-14 pp10-15


