file,line_start,line_end,code_operation,stage,input_shape_type,output_shape_type,mathematical_operation,scientific_purpose,literature_support,parameter,parameter_source,empirical_validation,risk_if_omitted,risk_if_duplicated,possible_respiration_attenuation,possible_heartbeat_attenuation,harmonic_risk,bin_hopping_risk,phase_discontinuity_risk,distance_semantics_dependency,status
"firmware image / prior audit report",1,1,"Recover exact image identity and runtime mode","upstream firmware binding","binary image; 233280 bytes","formal image hash and mode field","SHA-256 and byte comparison","Bind stored formal output to the audited firmware artifact","Project evidence; hierarchy in U1-U4","fft_mode=2; offset 0x37918","formal image audit report; local Get-FileHash","Hash verified by Get-FileHash against prior audit","Hash mismatch would invalidate source binding","Treating adjacent ADC or generic SDK image as the formal image","not applicable","not applicable","not applicable","not applicable","not applicable","Required before interpreting range bins","PRIOR_AUDIT_CONFIRMED_NEEDS_PRIMARY_RELINK"
"ReportDataCube1D/src/main.c; radar_framework.h",68,71,"Interpret frame type and fft_mode enum","upstream transform semantics","1D frame configuration","complex range-domain report; no Doppler dimension","mode enum and source comment interpretation","Distinguish range FFT from raw ADC and 2D Doppler output","L1-L4; official SDK source","RADAR_FRAMEWORK_2DFFT_MODE=2; frame type 1D","official SDK source and prior runtime audit","Source enum and output semantics agree","Without this, downstream could double-FFT raw/complex data","A second range FFT would corrupt the existing range-domain signal","not established","not established","not established","not established","not established","Binds range-domain semantics, not physical distance alone","CONFIRMED_IN_FORMAL_FIRMWARE"
"radar_framework_report.c; prior DataCube audit",131,167,"Report DataCube payload to eight logical channels","upstream packing","0xC2 payload; 2T4R","8 complex arrays; [frames,256]","payload conversion and channel unpacking","Preserve channelized complex range samples","L1-L3; SDK report path","2 Tx x 4 Rx; 256 samples","official source plus formal NPZ/PSIC output","Output keys/shapes and PSIC header agree","Missing unpacking would lose channel identity","Duplicating conversion would reinterpret already converted data","unknown","unknown","unknown","not applicable","unknown","37 mm/bin axis must be attached after conversion","CONFIRMED_BY_OUTPUT_SEMANTICS"
"ReportDataCube1D/prj_config.h; prior SDK audit",103,108,"Read range FFT length and clutter configuration","upstream configuration","project config fields","N=256; clutter field NONE in inspected source","2^range_fft_len_log2","Establish configured output length and documented clutter setting","L1-L5; official SDK source","range_fft_len_log2=8; clutter NONE","official SDK source; exact-image binding incomplete","256 output shape verified; clutter remains source-only evidence","Unknown length/padding changes range interpretation","Applying downstream FFT/clutter twice changes amplitude and phase","possible through DC/clutter effects","possible through amplitude/SNR effects","possible through leakage","not applicable","not applicable","37 mm/bin is formal output semantics","SUPPORTED_BY_OFFICIAL_SDK_OR_MANUAL_ONLY"
"process_vital_signs_v3_1_1.py",1099,1143,"Discover NPZ chunks, sort tx/rx keys, and slice frames","ingestion","NPZ parts; tx* arrays [frames,256] complex","cube [frame,range,channel] complex64; selected segment","key sorting, stacking, global frame slicing","Create deterministic formal segment input","Recovered output semantics; L1-L3","8 channels; frame_start/frame_end","producer implementation and output audit","Output loading path inspected; no new run","Frame continuity is not fully checked","Repeated stacking/conversion can duplicate channels or frames","not directly","not directly","not directly","selection later may change","chunk boundaries can reset temporal continuity","Range dimension is assumed to be formal 0.037 m/bin","MATCHED"
"process_vital_signs_v3_1_1.py",1146,1172,"Compute mean power profile and channel totals","target candidate formation","cube [frame,range,channel] complex64","profile [range,channel] float; totals [channel]","mean(abs(z)^2)","Localize energetic range/channel candidates","L1-L3; target selection literature","full selected segment","producer implementation","Profile behavior read from source; no new run","No profile weakens candidate localization","Computing profile on already transformed values twice is invalid","Stationary clutter can mask respiration","Weak cardiac return can be excluded","Respiration harmonic can dominate energy","candidate can change between segments","power selection alone does not preserve phase","Gate requires 0.037 m/bin axis","PROJECT_VARIANT"
"process_vital_signs_v3_1_1.py",1194,1233,"Apply power, phase-variance, SNR, and stability scores","target selection","per-channel range traces","candidate bin/channel score list","detrend; FFT power; band SNR; weighted score","Select a signal-quality candidate, not a human target","L3; target-range selection is critical","power >=1%; phi_var 0.1-50; BR/HR bands","producer constants and code","No independent target/ECG validation","Without eligibility, unstable/environmental bins enter estimation","Multiple score passes can reinforce the same wrong reflector","Band gates can attenuate low-frequency BR","HR band and stability can attenuate weak heart signal","2x/3x BR may score as HR","score can select different bins per segment","selection changes can break phase continuity","range gate and bin-to-distance mapping required","HEURISTIC"
"process_vital_signs_v3_1_1.py",1374,1412,"Select BR and HR bin/channel independently","target/channel split","eight-channel candidate traces","one BR pair and one HR pair per segment","argmax-like heuristic over separate scores","Provide separate respiration and heartbeat candidates","L3; L9-L10 for channel/reference caution","optional override; otherwise all channels","producer implementation","Existing spatial consistency is candidate evidence only","No separate target can leave cross-talk unresolved","Duplicated independent selections can create inconsistent physiology paths","BR path may favor a different bin and attenuate continuity","HR path may favor weak/noisy channel","independent channels permit harmonic lock","new pair every segment permits hopping","no cross-segment stitching","0.037 m/bin determines candidate set","POTENTIALLY_HARMFUL"
"process_vital_signs_v3_1_1.py",1415,1439,"Unwrap phase and convert selected HR phase to displacement","phase/displacement","selected complex trace [time]","unwrapped phase and displacement [time] float","x=lambda*unwrap(angle(z))/(4*pi)","Convert complex phase modulation to motion proxy","L2; L4-L5","wavelength=5 mm","producer constant and code","Phase formula and shape inspected; no new run","No ECG/RSP alignment at this stage","Unwrapping or conversion twice distorts phase/displacement","detrending/filtering later can remove slow BR","fixed band later can remove heartbeat","phase may represent respiration harmonic","bin changes alter phase reference","unwrap only protects each concatenated segment","distance determines which trace is selected","PROJECT_VARIANT"
"process_vital_signs_v3_1_1.py",2500,2517,"Map bins to distance and apply range gate","distance semantics","range bin index","distance mask and candidate region","distance=bin*spacing-bias; zero outside gate","Constrain search to physically plausible range","L1-L3","gate 0.30-1.50 m; code default 0.08; formal 0.037","producer default versus recovered formal output","Corrected distance audit and code comparison","Wrong axis makes gate and selection invalid","Applying two different gates gives irreproducible candidates","excluded near/far BR target may attenuate respiration","excluded near/far HR target may attenuate heartbeat","wrong region may favor harmonics","axis mismatch appears as false bin instability","different gate per caller creates discontinuity","Directly dependent on 0.037 m/bin","POTENTIALLY_HARMFUL"
