stage,project_operation,exact_source_or_path,source_lines_or_artifact,formal_binding,status,literature_ids,decision_or_gap
input_schema,load eight NPZ arrays and stack frame×range×channel,scripts/process_vital_signs_v3_1_1.py,1099-1112,formal producer input,CONFIRMED_BY_OUTPUT_SEMANTICS,,NPZ is SDK-decoded complex DataCube; raw ADC conversion is upstream
firmware_mode,formal image has fft_mode=2 and ADC comparison image has fft_mode=0,local SDK 04_Image and existing runtime audit,FIRMWARE_BINARY_COMPARISON.csv; byte offset 0x37918,exact formal image,CONFIRMED_IN_FORMAL_FIRMWARE,,formal image is 1D Range-FFT mode; ADC image is experiment only
range_config,range_fft_len_log2=8 and range_resolution_mm=37,ReportDataCube1D/src/prj_config.h,76-79,exact project configuration,CONFIRMED_IN_FORMAL_FIRMWARE,,distance axis is i×0.037 m conditional on range-domain payload; no extra bias verified
frame_config,frame_type=0; frame period 10 ms; accumulation log2=0,ReportDataCube1D/src/prj_config.h,76;88-95,formal project configuration,CONFIRMED_IN_FORMAL_FIRMWARE,,one 1D interval per frame and no configured multi-chirp accumulation
fft_dispatch,1D callback uses __mmw_fft_range for non-ADC path,radar_signal_process_1d.c,160-178,SDK implementation path,CONFIRMED_BY_OUTPUT_SEMANTICS,,formal binary mode comparison establishes exact deployed mode; source tree currently contains later ADC experiment edit
cube_report,report path serializes complex16 range values in tx/rx/doppler/range iteration,HIF report source,radar_framework_report.c:131-167,SDK report semantics,CONFIRMED_BY_OUTPUT_SEMANTICS,,0xC2 is transport/report packaging, not a second host FFT
channel_layout,2 TX × 4 RX virtual channel arrays,local formal NPZ and capture parser,D:\Project\厚粲杯\08_算法\docs\results\2026-08-29_RS6240距离与DataCube审计_v1\2026-08-29_FORMAL_FIRMWARE_RUNTIME_MODE_AUDIT.md,formal sessions,CONFIRMED_BY_OUTPUT_SEMANTICS,,physical ordering and TDM timing compensation remain unresolved
dc_clutter,configured clutter removal is NONE,ReportDataCube1D/src/prj_config.h,100-101,formal project config,CONFIRMED_IN_FORMAL_FIRMWARE,L4-L5,DC/static clutter suppression is not enabled by this application config
window,explicit window call not found in ReportDataCube1D path,SDK source inspection,ReportDataCube1D and radar framework source scan,exact firmware behavior,UNRESOLVED,L1-L2,precompiled lower-layer behavior cannot be inferred
fft_scaling,host producer does no raw ADC FFT and no amplitude calibration,scripts/process_vital_signs_v3_1_1.py,1103-1112; 1151-1172,formal downstream,CONFIRMED_BY_OUTPUT_SEMANTICS,L1-L2,amplitude normalization/scaling provenance remains unresolved
target_selection,aggregate power plus phase stability and HR/BR band scores select separate bin/channel,scripts/process_vital_signs_v3_1_1.py,1194-1233;1375-1410,formal downstream,PROJECT_VARIANT,L3,Literature supports candidate scoring but does not validate human chest lock
phase,unwrap angle of selected complex channel/bin,scripts/process_vital_signs_v3_1_1.py,268-278;1415-1437,formal downstream,PROJECT_VARIANT,L4-L5,phase continuity across channel/bin switches is not independently gated
respiration,bandpass/detrend plus consensus spectral/peak candidates,scripts/process_vital_signs_v3_1_1.py,515-680,formal downstream,PROJECT_VARIANT,L6-L8,2x/3x rejection is optional external-reference branch and not active in current formal runner
heartbeat,peak/time-course plus periodogram, optional VMD and fusion,scripts/process_vital_signs_v3_1_1.py,857-1052;1296-1373,formal downstream,HEURISTIC,L1-L6,quality score is algorithmic confidence not ECG validation
hrv,IBI-like peak metrics are emitted but no validated radar beat-to-ECG agreement,process_vital_signs_v3_1_1.py and existing C1 reports,852-855; docs/results/c1_pilot,formal downstream,BLOCKED,L11,do not claim HRV validation
qc,10 s signal presence, coverage, target-lock and provenance strata,scripts/maintenance/build_formal_vital_qc_v1.py,36-82;150-205,formal downstream,PROJECT_VARIANT,,QC eligibility is not physiology validity; current corrected tiers are 33/37/2
validation,BIOPAC comparison is small reference subset and not full cohort,docs/results/mmwave_formal_vital_qc_v1,existing reference aggregate and closure report,formal evidence,PASS_QUALITY_GATED,L8-L11,HR quality-gated and BR supporting only; HRV blocked
