feature_name,modality,source_column,definition,unit,aggregation_rule,window,qc_requirement,missing_semantics,allowed_as_predictor,reason,provenance
behavior_rt_median_ms_pre30s,Behavior,behavior_rt_median_ms_pre30s,median valid response time of trials before probe onset,ms,trial-level aggregation within pre_30s; no post-onset rows,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,True,pre-onset context/behavior feature,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_rt_mean_ms_pre30s,Behavior,behavior_rt_mean_ms_pre30s,mean valid response time of trials before probe onset,ms,trial-level aggregation within pre_30s; no post-onset rows,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,True,pre-onset context/behavior feature,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_error_rate_pre30s,Behavior,behavior_error_rate_pre30s,error proportion in trials before probe onset,proportion,trial-level aggregation within pre_30s; no post-onset rows,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,True,pre-onset context/behavior feature,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_commission_rate_pre30s,Behavior,behavior_commission_rate_pre30s,commission-error proportion before probe onset,proportion,trial-level aggregation within pre_30s; no post-onset rows,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,True,pre-onset context/behavior feature,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_omission_rate_pre30s,Behavior,behavior_omission_rate_pre30s,omission proportion before probe onset,proportion,trial-level aggregation within pre_30s; no post-onset rows,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,True,pre-onset context/behavior feature,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_trial_count_pre30s,Behavior,behavior_trial_count_pre30s,number of trials available before probe onset,count,as emitted by current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,False,context/QC metadata; not primary to avoid availability leakage,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_valid_rt_count_pre30s,Behavior,behavior_valid_rt_count_pre30s,number of trials with valid RT before probe onset,count,as emitted by current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,False,QC/missingness metadata; not primary,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_available,Behavior,behavior_available,formal behavior row availability,boolean,as emitted by current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,False,availability indicator; QC only,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_qc_status,Behavior,behavior_qc_status,behavior source QC status,categorical,as emitted by current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,False,QC only,behavior_probe_merge_ready.csv; current formal event aggregation
behavior_source_path,Behavior,behavior_source_path,local behavior provenance path,path,as emitted by current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",behavior_qc_status=available_formal_events,NaN only if no valid pre-onset trials; no imputation here,False,provenance only,behavior_probe_merge_ready.csv; current formal event aggregation
