feature_name,modality,source_column,definition,unit,aggregation_rule,window,qc_requirement,missing_semantics,allowed_as_predictor,reason,provenance
rgb_primary_face_fraction,RGB,rgb_primary_face_fraction,fraction of sampled face observations assigned to primary face rank 0,proportion,median for geometry/coverage; mean for motion; within pre_30s,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,True,current formed RGB candidate with interpretable semantics,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_ear_mean_median,RGB,rgb_ear_mean_median,median mean-eye aspect ratio from eyelid geometry,ratio,median for geometry/coverage; mean for motion; within pre_30s,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,True,current formed RGB candidate with interpretable semantics,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_aperture_iris_mean_median,RGB,rgb_aperture_iris_mean_median,median normalized eyelid/iris aperture geometry,ratio,median for geometry/coverage; mean for motion; within pre_30s,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,True,current formed RGB candidate with interpretable semantics,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_head_motion_norm_per_sec_mean,RGB,rgb_head_motion_norm_per_sec_mean,mean primary-face head-motion norm per second,normalized units/s,median for geometry/coverage; mean for motion; within pre_30s,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,True,current formed RGB candidate with interpretable semantics,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_global_motion_energy_mean,RGB,rgb_global_motion_energy_mean,mean global motion energy in window,normalized units,median for geometry/coverage; mean for motion; within pre_30s,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,True,current formed RGB candidate with interpretable semantics,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_global_motion_energy_per_sec_mean,RGB,rgb_global_motion_energy_per_sec_mean,mean time-normalized global motion energy,normalized units/s,median for geometry/coverage; mean for motion; within pre_30s,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,True,current formed RGB candidate with interpretable semantics,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_pose_visibility_median,RGB,rgb_pose_visibility_median,median pose landmark visibility,proportion,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,"pose QC/visibility, not head-pose angle",rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_eye_geometry_valid_fraction,RGB,rgb_eye_geometry_valid_fraction,fraction of eyelid observations passing geometry validity,proportion,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,eye-geometry QC only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_motion_valid_fraction,RGB,rgb_motion_valid_fraction,fraction of motion rows valid,proportion,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,motion QC only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_gap_fraction,RGB,rgb_gap_fraction,fraction of motion time with gaps,proportion,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,temporal QC only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_pose_valid_fraction,RGB,rgb_pose_valid_fraction,fraction of pose rows valid,proportion,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,pose QC only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
