evidence_id,type,title,year,journal_or_source,doi_or_id,url,supports,project_implication,status
L1,REVIEW,"Human Vital Signs Detection Methods and Potential Using Radars: A Review",2020,Sensors,10.3390/s20051454,https://pmc.ncbi.nlm.nih.gov/articles/PMC7085680/,"FMCW localization + HR/BR extraction; DC/noise/motion and HR-BR separation are recognized challenges","Use as high-level audit scaffold; not a universal parameter prescription",VERIFIED
L2,EMPIRICAL_METHOD,"Remote Monitoring of Human Vital Signs Using mm-Wave FMCW Radar",2019,IEEE Access,10.1109/ACCESS.2019.2912956,https://doi.org/10.1109/ACCESS.2019.2912956,"77 GHz practical FMCW; range localization; phase manipulation/unwrapping; reference comparison","Target/range and phase handling are core methodological stages",VERIFIED
L3,EMPIRICAL_METHOD,"Selecting Target Range with Accurate Vital Sign Using Spatial Phase Coherency of FMCW Radar",2021,Applied Sciences,10.3390/app11104514,https://www.mdpi.com/2076-3417/11/10/4514,"Target range selection is itself a critical estimation problem","Audit target/bin selection independently from participant compliance",VERIFIED
L4,EMPIRICAL_METHOD,"Remote Monitoring of Human Vital Signs Based on 77-GHz mm-Wave FMCW Radar",2020,PMC,PMC7285495,https://pmc.ncbi.nlm.nih.gov/articles/PMC7285495/,"Range FFT; DC offset correction; extended DACM; phase recovery; signal separation; rate estimation","Verify exact DC/phase/unwrap order in formal pipeline",VERIFIED
L5,EMPIRICAL_METHOD,"High-Precision Vital Signs Monitoring Method Using a FMCW Millimeter-Wave Sensor",2022,PMC,PMC9572116,https://pmc.ncbi.nlm.nih.gov/articles/PMC9572116/,"DC offset compensation and extended DACM phase extraction","Check omission/double processing and parameter equivalence",VERIFIED
L6,EMPIRICAL_METHOD,"Non-Contact Monitoring of Human Vital Signs Using FMCW Millimeter Wave Radar in the 120 GHz Band",2021,PMC,PMC8070581,https://pmc.ncbi.nlm.nih.gov/articles/PMC8070581/,"Respiratory 2nd/3rd harmonics can interfere with heartbeat; adaptive notch suppression before HR","Stable/high-SNR HR peak is not enough; verify true harmonic rejection",VERIFIED
L7,EMPIRICAL_METHOD,"A new method for vital sign detection using FMCW radar based on random body motion cancellation",2023,Biomed Tech,10.1515/bmt-2023-0068,https://pubmed.ncbi.nlm.nih.gov/37289651/,"2D-FFT/RDM; velocity estimation; trend filtering; motion cancellation as explicit processing problem","Separate independent motion evidence from phase/target instability",VERIFIED
L8,CLINICAL_VALIDATION,"Wireless non-invasive continuous respiratory monitoring with FMCW radar: a clinical validation study",2016,PMC,PMC5082588,https://pmc.ncbi.nlm.nih.gov/articles/PMC5082588/,"Repeated-measures Bland-Altman; bias; 95% LoA; artifact-reduced comparison","Correlation alone is insufficient physiology validation",VERIFIED
L9,EMPIRICAL_VALIDATION,"An FMCW Radar for Localization and Vital Signs Measurement for Different Chest Orientations",2020,Sensors,10.3390/s20123489,https://pmc.ncbi.nlm.nih.gov/articles/PMC7348911/,"PPG and respiratory-belt references across chest orientations","Geometry/orientation requires empirical validation",VERIFIED
L10,COMPARATIVE_EMPIRICAL,"Experimental Comparison of IR-UWB Radar and FMCW Radar for Vital Signs",2020,Sensors,10.3390/s20226695,https://pmc.ncbi.nlm.nih.gov/articles/PMC7768379/,"FMCW phase-based vital-sign estimation; ECG/RSP references; Bland-Altman; harmonics/channels","Reference validation and harmonics/channel handling must be explicit",VERIFIED
L11,EMPIRICAL_VALIDATION_IBI,"Vital Sign Monitoring Using FMCW Radar in Various Sleeping Scenarios",2020,Sensors,10.3390/s20226505,https://pmc.ncbi.nlm.nih.gov/articles/PMC7696080/,"Radar IBI extraction; ECG-derived reference IBI; MAE/RMSE/correlation; Bland-Altman","HRV requires beat/IBI-level chain and paired reference validation",VERIFIED
L12,PENDING_METADATA_VERIFICATION,"Previously cited 2025 respiratory-harmonic DSP source",2025,ScienceDirect,PII:S1051200424005359,https://www.sciencedirect.com/science/article/pii/S1051200424005359,"Previously cited as respiratory-harmonic-removal evidence","Do not use as primary evidence until metadata/method independently verified",PENDING_VERIFICATION
