analysis_id,analysis_name,status,local_script,local_input,local_output,local_report_or_manifest,github_report_or_index,github_commit,local_exists,remote_exists,hash_or_content_match,current_conclusion,decision_state,ownership,reconciliation_status,evidence_basis
P0_PROTOCOL,Protocol/version harmonization,VALID_SUPPORTING,MISSING,D:\Project\厚粲杯\11_数据\derived\probe_program_version_audit_v1,D:\Project\厚粲杯\11_数据\derived\probe_program_version_audit_v1,local manifest and report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,FALSE,TRUE,local executable path not found; registry path stale,protocol evidence only,active supporting,central,PATH_STALE,registry plus local path check
P1_IDENTITY,Identity/session master,REVISE_METHOD,D:\Project\厚粲杯\08_算法\scripts\audit_source_inventory.py,D:\Project\厚粲杯\11_数据\derived\analysis_tables_v2,D:\Project\厚粲杯\11_数据\derived\analysis_tables_v2,local inventory manifest,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,identity gate remains required,active method,central,MATCHED,registry plus local path check
C2A_LABEL,C2A label/sample audit,KEEP_MAIN,D:\Project\厚粲杯\08_算法\scripts\audit_label_coverage.py,D:\Project\厚粲杯\11_数据\derived\c2_evaluation_label_audit_v1,D:\Project\厚粲杯\11_数据\derived\c2_evaluation_label_audit_v1,local audit manifest,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,coverage audit only,active supporting,central,MATCHED,registry and manager analysis log
BEIJING_BEHAVIOR,Behavior/probe longitudinal,KEEP_MAIN,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\behavior\run_beijing_longitudinal_event_analysis_v1.py,D:\Project\厚粲杯\11_数据\derived\beijing_c2_identity_reuse_event_analysis_v2\formal_behavior_longitudinal_v1,D:\Project\厚粲杯\11_数据\derived\beijing_c2_identity_reuse_event_analysis_v2\formal_behavior_longitudinal_v1,local manifest/report,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,behavior anchor,active central,central,MATCHED,registry result index and local existence
PREPROBE_BEHAVIOR,Probe-before behavior validity,RERUN_CANONICAL,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\behavior\run_beijing_preprobe_state_comparison_v1.py,D:\Project\厚粲杯\11_数据\derived\beijing_c2_identity_reuse_event_analysis_v2,D:\Project\厚粲杯\11_数据\derived\beijing_c2_identity_reuse_event_analysis_v2\formal_behavior_longitudinal_v1,local report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,registry agrees with local state,rerun required,active pending,central,MATCHED,registry status and local manager record
RECOVERY_B1B2,Recovery B1/B2 behavior evidence,KEEP_SUPPORTING,worktree historical behavior runner,D:\Project\厚粲杯\11_数据\derived\j_m1_q0_71_rerun_v1,D:\Project\厚粲杯\11_数据\derived\j_m1_q0_71_rerun_v1,local handoff,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,summary consistent,retained supporting,active supporting,central,MATCHED,manager version record
REPORT_COHORT,Report cohort vigilance,REVISE_METHOD,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\behavior\run_report_cohort_label_vigilance_v1.py,D:\Project\厚粲杯\11_数据\derived\report_cohort_label_vigilance_v1,D:\Project\厚粲杯\11_数据\derived\report_cohort_label_vigilance_v1,local report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,labels require current cohort gate,active method,central,MATCHED,registry and manager records
FOUR_CLASS_PROBE,Four-class probe analysis,REVISE_METHOD,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\behavior\run_report_cohort_label_vigilance_v1.py,D:\Project\厚粲杯\11_数据\derived\report_cohort_label_vigilance_v1,D:\Project\厚粲杯\11_数据\derived\report_cohort_label_vigilANCE_v1,local report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,labels/status consistent,do not collapse labels 2/3/4,active method,central,MATCHED,registry interpretation rules
VIGILANCE,Vigilance model,REVISE_METHOD,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\behavior\run_report_cohort_label_vigilance_v1.py,D:\Project\厚粲杯\11_数据\derived\report_cohort_label_vigilance_v1,D:\Project\厚粲杯\11_数据\derived\report_cohort_label_vigilANCE_v1,local report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,method revision,active method,central,MATCHED,registry and local report
PROBE_VIGILANCE,Probe vigilance,REVISE_METHOD,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\behavior\run_report_cohort_label_vigilance_v1.py,D:\Project\厚粲杯\11_数据\derived\report_cohort_label_vigilance_v1,D:\Project\厚粲杯\11_数据\derived\report_cohort_label_vigilANCE_v1,local report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,method revision,active method,central,MATCHED,registry and local report
REPEAT_EFFECTS,Repeat-participant sensitivity,KEEP_SUPPORTING,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\behavior\run_report_repeat_session_effects_v1.py,D:\Project\厚粲杯\11_数据\derived\repeat_participant_loso_sensitivity_v1,D:\Project\厚粲杯\11_数据\derived\repeat_participant_loso_sensitivity_v1,local sensitivity report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,participant-disjoint sensitivity only,supporting,central,MATCHED,registry and manager version record
