branch_name,head_sha,last_commit_date,scientific_or_engineering_purpose,retained_unique_assets,canonical_successor,open_pr_dependency,classification,deletion_prerequisite,recommended_final_action
codex/behavior-formal-v3-rejected-baseline-fix,8a23f6a27cae643eda366696672da64d3ce479a4,2026-08-29 16:58:43 +0800,"formal behavior science v3 entrypoint implementing the rejected-baseline repair","10 files absent from main: pipelines/behavior/behavior_science_v3/*, contracts/behavior/行为科学v3分析契约.json, docs/methods/行为科学v3判退缺陷规范.md, scripts/rejected_baselines/behavior/*, tests/test_behavior_science_v3_*.py, .github/workflows/behavior-science-v3.yml",none,PR #23 head,HOLD_UNMERGED_ACTIVE,PR #23 disposition,hold
codex/behavior-science-v3-baseline,64b7394e7aa621242c62684ff5a04b14261e2c76,2026-08-29 16:23:24 +0800,"behavior science v3 review baseline (analysis contract plus read-only rejected v2 baseline generator)","5 files absent from main: contracts/behavior/行为科学v3分析契约.json, docs/methods/行为科学v3判退缺陷规范.md, scripts/rejected_baselines/behavior/generate_behavior_science_analysis_v2_rejected_baseline.py, tests fixtures and contract test",none,PR #23 base,HOLD_UNMERGED_ACTIVE,PR #23 disposition,hold
codex/formal-bb-behavior-v1,0423beba1813bf81b16d4d7d7e9c7ac4763920e6,2026-08-29 08:54:21 +0800,"formal BB multiscale behavior derived-feature producer","10 files absent from main: pipelines/behavior/formal_bb/*, docs/canonical/FORMAL_BB_BEHAVIOR_SCHEMA_V1.md, docs/migration/FORMAL_BB_V1_MIGRATION.md, configs/behavior/formal_bb_v1.example.json, tests/test_formal_bb_behavior_producer.py, tests/fixtures/formal_bb/*",none,PR #19 head (base main),HOLD_UNMERGED_ACTIVE,PR #19 disposition,hold
codex/formal-bb-probe-window-fix,9e2dea90306552d38377a6bf9cbe6c3561afa4b3,2026-08-29 14:16:35 +0800,"stacked repair excluding probe anchors from preceding windows; adds legacy path isolation test","11 files changed against base 155a1aa9; 10 files absent from main (same formal_bb surface as its base branch)","codex/formal-bb-behavior-v1 (its base)",PR #22 head,HOLD_UNMERGED_ACTIVE,PR #22 disposition,hold
codex/mmwave-estimator-improvement-v1-20260912,da84260c87ac581d2a806b06878a33472e0160fc,2026-09-12 23:56:50 +0800,"mmWave estimator improvement v1 (result NO_STABLE_IMPROVEMENT)","none",main,"none",MERGED_INTO_MAIN,ancestor proof against origin/main,delete
codex/mmwave-formal-reanalysis-v2,d87229afe071f23450728a6d617ec82317e6c9df,2026-08-28 00:42:55 +0800,"pre-restructure mmWave formal reanalysis v2 line","42 unique commits; 67 files / +48706 lines vs base, concentrated in docs/mmwave_reanalysis_v2/ (33), configs/mmwave_reanalysis_v2/ (11), scripts/mmwave_reanalysis_v2/ (7)",none,PR #20 base (closed as superseded),SUPERSEDED_NO_ARCHIVE_TAG,create immutable archive tag before deletion,archive then delete after approval
codex/mmwave-pre30s-selector-hr-20260831,2f606cb9332c319993264789061731dd67be064b,2026-08-31 00:40:02 +0800,"HR/BR rerun on protocol pre_30s windows with full selector chain","none",main,"none",MERGED_INTO_MAIN,ancestor proof against origin/main,delete
codex/mmwave-production-contract-hardening,fc682b491fcbeeb9bd1b030c8af9da33282d2846,2026-08-29 08:58:49 +0800,"mmWave production contract and dependency preflight hardening","42 unique commits; 74 files / +49447 lines vs base; 67 files absent from main","none on main for the same paths","PR #20 (closed, titled [SUPERSEDED])",SUPERSEDED_NO_ARCHIVE_TAG,create immutable archive tag before deletion,archive then delete after approval
codex/project-state-map-20260829,efb385fccdb8f0bd7c4c9c8b07bf1f242c6da047,2026-08-29 17:53:49 +0800,"project-level progress and spatiotemporal state map","AGENTS.md, PROJECT_STATUS.md, docs/00_治理/项目级进度与时空状态地图_20260829.md; all three exist in main with newer and substantially longer content (PROJECT_STATUS.md 314 vs 38 lines)",main,none,SUPERSEDED_BY_MAIN,confirm no unique fact remains,archive reference then delete after approval
codex/q1-questionnaire-criterion-validity-20260826,d8a2870766b011da3d62b85d33dd10652d2db4b4,2026-08-31 08:46:58 +0800,"Q1 questionnaire criterion validity audit plus the competition report deliverable line","89 unique commits; 183 tree paths absent from main; docs/交付/0827报告v1_填充版_20260831.docx blob 10d56a656d1f7cec3de65a6f1ae3e6214691a211 (12196761 bytes; main tracks no .docx at all)",none (report mainline continues in kyandi233-dev/FocusWave-Formal-Analysis),none,ACTIVE_REPORT_LINE,"no common ancestor with main; branch tip is 28 commits past its own archive tag archive/20260826/q1-questionnaire-criterion-validity",hold
codex/t0-vmd-fix,018d6f79ec410552ee6f59d6f9f5fb6e8151ce42,2026-08-30 23:57:56 +0800,"VMD backend regression tests (T0)","none",main,"none",MERGED_INTO_MAIN,ancestor proof against origin/main,delete
fix/issue33-probe-contract,b2fddca2542859f62d5f4b57f1b4fdecd54a5b4c,2026-09-11 01:33:18 +0800,"frozen probe replay repair and input-change quantification","5 files absent from main: docs/results/2026-09-11_ISSUE33_PROBE_REPAIR/REPORT.md, scripts/maintenance/compare_mmwave_probe_versions.py, scripts/maintenance/finalize_mmwave_boundaries.py, scripts/maintenance/mmwave_frozen_cohort.py, tests/test_issue33_probe_contract.py",none,Issue #33 (OPEN),HOLD_UNMERGED_ACTIVE,Issue #33 disposition,hold
master,96525b19422b34291e4d87747fef214d1fec60d7,2026-08-25 20:56:56 +0800,"historical pre-FocusWave repository base",base files,legacy/mmwave-hrv-master-pre-focuswave-20260826,none,LEGACY_PRESERVE_UNTIL_CUTOVER,legacy tag plus rollback window,hold until rollback window closes
