"阶段","Bhingikar 2026 review","Ostrysz 2026 review","Marnach 2026","Yu 2026 HRV","Hao 2025 A-VMD","Hao 2025 MRVS","审计解释"
"原始输入","CW/FMCW/IR-UWB均被讨论；无统一实验输入（PDF p.2，直接证据）","多种微波技术综述；无统一实验输入（p.1，直接证据）","24GHz 2TX/4RX FMCW，128 samples/ramp（pp.1,4，直接证据）","AWR1642 2T4R原始ADC IF（pp.1,4,10，直接证据）","IWR1843原始I/Q，fast×slow×4Rx（pp.4-5，直接证据）","IWR1843/DCA1000原始ADC（p.10，直接证据）","先确认原始数据与阵列布局；综述不能替代本项目证据。"
"电子/DC/IQ偏置","静态杂波为风险；具体流程未报告（p.15，直接证据/未报告）","动态需抗干扰；具体流程未报告（p.12，直接证据/未报告）","detrend去潜在电子偏置（p.5，直接证据）","每range bin减均值抑制静态背景（p.4，直接证据）","QOR后再MTI（p.6，直接证据）","DC offset removal；比较均值相消/MTI/相干积累（p.6，直接证据）","必须有前后诊断图；不能从最终HR反推做过。"
"range FFT","FMCW range binning用于空间分离（p.2，直接证据）","FMCW提供距离信息（pp.2,11，直接证据）","每ramp/通道1D FFT（p.5，直接证据）","IF fast-time FFT得8天线range bins（p.4，直接证据）","每pulse 1D FFT（pp.4-5，直接证据）","IF 1D FFT找range bin（pp.5-6，直接证据）","range FFT应在前端明确产物层，不应混写成慢时间频谱。"
"目标range gate","未给统一规则（未报告）","未给统一规则（未报告）","幅度谱最大峰所在bin（p.5，直接证据）","每列最大能量index选人体门（p.4，直接证据）","STFT/最高能量点选位置（pp.6-7，直接证据）","FFT后对应range bin（pp.5-6，直接证据）","最大幅度/能量是规则，不是心脏定位验证；近距强反射可污染。"
"通道/方向选择","FMCW可结合DoA（p.2，直接证据）","动态建议MIMO/自适应波束形成（p.12，直接证据）","多通道处理；最终具体通道准则未完整报告（pp.5,8，部分证据）","Capon权重合成8虚拟天线；用SCG SQI选方位（pp.6-7，直接证据）","4Rx存在；最终融合准则未报告（pp.4-5，未报告）","4Rx存在；最终融合准则未报告（p.10，未报告）","需将每通道/方位质量与最终选取记录下来。"
"相位与unwrap","方法类别被讨论；无统一实现（未报告）","相位受大动作wrap影响（p.12，直接证据）","FFT复数相位→unwrap；相邻相位差（pp.5-6，直接证据）","MDACM解调相位（pp.4,7，直接证据）","atan2→unwrap→phase difference（pp.6-7，直接证据）","range-bin phase→unwrap→一阶差分（pp.5-7，直接证据）","raw/unwrapped/differenced相位要同窗可见。"
"呼吸-心动分离","呼吸谐波干扰为重点挑战（pp.1-2，直接证据）","动态需多阶段滤波/BSS/跟踪（p.12，直接证据）","平滑相位相减；包络/Moving-RMS（pp.5-7，直接证据）","6层WPT取6-12子带重建SCG（pp.7-8，直接证据）","A-VMD与滤波分离（pp.3-4,18，直接证据）","db5 4层DWT，D3心动/A4呼吸，AKF重建（pp.7-9，直接证据）","频带、谐波和选择依据应由本数据PSD和波形共同支持。"
"HR估计","综述；无统一估计器（未报告）","综述；无统一估计器（未报告）","包络峰及时间戳；平均HF（pp.6-7，直接证据）","AO点→IBI；主要评HRV（pp.9-10，直接证据）","谱峰+谐波加权（pp.2-4，直接证据）","重建信号谱最大峰+阈值（pp.8-9，直接证据）","窗口频谱HR与逐搏HR/HRV是不同结论层级。"
"参考真值","ECG为HR/HRV金标准的背景陈述（p.4）","无新增队列/真值（pp.14-15）","同步GE CARESCAPE B650 ECG（p.1；Fig.12 p.6）","同步Shimmer ECG，Pan-Tompkins R峰（pp.10,12）","Cardiio与血压计；严格同步细节未充分报告（p.3）","HUAWEI WATCH GT2（p.10）","HRV/逐搏应优先同步ECG；手表仅适合有限的HR参考。"
"样本/结果","无本文样本或准确度（p.16）","无本文样本或准确度（pp.14-15）","示例3min/152 events；总体N未报告（pp.8-9）","13人×10min，SDNN 4.11ms、RMSSD 8.08ms、pNN50 2.15%平均绝对误差（pp.1,10,12）","10人；作者称HR MAE<4 bpm（pp.2,19）","6人初步比较；MAPE 1.85%-4.78%（pp.10-12）","不将异构结果移植为FocusWave性能。"


