analysis_id,中文名称,scientific_question,report_role,exact_local_inputs,upstream_asset_RUN_ID,exact_executable_script,config_files,software_environment,package_model_versions_hashes,sample_unit,cohort_rule,identity_grouping_key,site_protocol_scope,label_definition,time_window_definition,feature_set,QC_rule,statistical_model,repeated_measures_handling,CV_folds,imputation_scaling_leakage_control,bootstrap_CI,multiple_comparison_correction,random_seed,exact_output_root,output_file_list,output_schema_columns_summary,headline_results,result_interpretation,forbidden_over_interpretation,branch_commit,status,superseded_by,another_disk_reproduce,wait_for_global_merged_data
P0_PROTOCOL,Protocol/version harmonization,见对应 method card Purpose,methods,见 local manifest and inventory,,UNRESOLVED_MISSING_ENTRYPOINT: probe_program_version_audit.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,session,protocol evidence gate,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/probe_program_version_audit_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,no,no
P1_IDENTITY,Identity/session master,见对应 method card Purpose,cohort,见 local manifest and inventory,,scripts/audit_source_inventory.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,session,participant/session master,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/analysis_tables_v2,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,no,no
C2A_LABEL,C2A label/sample audit,见对应 method card Purpose,label audit,见 local manifest and inventory,,scripts/audit_label_coverage.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,frozen 1 vs 2/3/4,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c2_evaluation_label_audit_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,no,no
BEIJING_BEHAVIOR,Beijing formal behavior longitudinal,见对应 method card Purpose,primary behavior,见 local manifest and inventory,,worktree historical run_beijing_longitudinal_event_analysis_v1.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,trial/probe,70 PASS_FORMAL sessions,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/beijing_c2_identity_reuse_event_analysis_v2/formal_behavior_longitudinal_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,no,no
PREPROBE_BEHAVIOR,Pre-probe behavior windows,见对应 method card Purpose,behavior supplement,见 local manifest and inventory,,worktree historical run_beijing_preprobe_state_comparison_v1.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,10/20/30s preceding window,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/beijing_c2_identity_reuse_event_analysis_v2/formal_behavior_longitudinal_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,no,no
RECOVERY_B1B2,B1-late to B2-early recovery,见对应 method card Purpose,behavior supplement,见 local manifest and inventory,,worktree historical behavior runner,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,session/probe,paired available windows,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/beijing_c2_identity_reuse_event_analysis_v2/formal_behavior_longitudinal_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,no,no
REPORT_COHORT,REPORT_ANALYSIS_COHORT,见对应 method card Purpose,report cohort,见 local manifest and inventory,,scripts/audit_project_completion.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,report frozen cohort,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/final_report_cohort_baseline_v2,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,yes,no
FOUR_CLASS_PROBE,Four-class probe trajectory,见对应 method card Purpose,descriptive,见 local manifest and inventory,,scripts/audit_behavior_outcomes.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,labels 1/2/3/4 retained,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/report_cohort_label_vigilance_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,PLANNED_GLOBAL_ONLY,NONE_RECORDED,yes,yes
VIGILANCE,Vigilance analysis,见对应 method card Purpose,descriptive,见 local manifest and inventory,,scripts/analyze_formal_vigilance.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,valid vigilance labels,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/report_cohort_label_vigilance_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,yes,no
PROBE_VIGILANCE,Probe-vigilance-behavior association,见对应 method card Purpose,secondary,见 local manifest and inventory,,scripts/analyze_formal_event_related.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,canonical report cohort,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/report_cohort_label_vigilance_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,PENDING_CANONICAL_RERUN,NONE_RECORDED,yes,no
